artist_name,track_name,track_id,album_id,artist_id,track_popularity,artist_popularity,artist_genre,duration_ms,release_date,release_date_precision
Elvis Costello,This Year's Girl - Alternate Version,17VeziHbA7TuvzyxLx7RpB,1sEzTKLd1Nv2oGndJa1XMD,2BGRfQgtzikz1pzAD0kaEn,8,57,"['art rock', 'folk', 'folk rock', 'mellow gold', 'new wave pop', 'permanent wave', 'power pop', 'pub rock', 'rock', 'roots rock', 'singer-songwriter']",128013,1978-03-17,day
Internet Money,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",2IePEfMAtqWS6rLXXFZIgI,1arPptaPtDyBisMtMBe2q6,6MPCFvOQv5cIGfw3jODMF0,75,72,"['rap', 'trap']",224042,2021-05-13,day
Powel,Chapek 9 - Mixed,5SviLErgE49How7DudEgOm,3zIUPOvazNB5crfiDdXcwq,7lswylDlldiV65bPXGD46m,15,28,['organic house'],350479,2021-12-17,day
Sleepy Hallow,2055,0mG6igzxbH55XRyq3ygEh8,0DiZ7mmFppDNbEtoRPvSGf,6EPlBSH2RSiettczlz7ihV,75,77,"['brooklyn drill', 'nyc rap']",123986,2021-04-14,day
Nordfold,Letter to Lillehammer - Mixed,3wbiAd3sNhUcAhA08G0hiA,3zIUPOvazNB5crfiDdXcwq,2QAapUP6tz100gnoEb0ITc,15,27,[],298515,2021-12-17,day
NLE Choppa,Jumpin (feat. Polo G),1z7LV5wkExwW8YJk0IrPUA,24t0q0pqu7y9udfr89qf42,0ErzCpIMyLcjPiwT4elrtZ,72,75,['memphis hip hop'],181198,2021-11-05,day
VONDA7,You're My Swiss Watch - Mixed,15DNzphJdOK3e51W9mnco9,3zIUPOvazNB5crfiDdXcwq,0Glk45UpQ9Tz1yp6GvhUBM,14,26,"['polish techno', 'progressive house']",262040,2021-12-17,day
YoungBoy Never Broke Again,Black Ball,1tmsPlyvzDETLv08Wp5cuY,2oyN9nzl627l8ZeovPo46F,7wlFDEWiM5OoIAt8RSli8b,70,82,"['baton rouge rap', 'trap']",189851,2021-12-10,day
Improvisation,Today's today 20210725,5knYwoYrDV5iYARoH5N9Uo,58Bb5LMmOJYxxJikNRmaG5,4vFb49awrZM415wXasNPWW,12,34,[],63689,2021-11-10,day
John Mayer,New Light,4T6FWA703h6H7zk1FoSARw,2JmfwvRDitJlTUoLCkp61z,0hEurMDQu99nJRq8pTxO14,77,76,"['neo mellow', 'singer-songwriter']",217426,2021-07-16,day
